"","irr_frac","simulation","design","nsim","dose","sd"
"372","0.5","p","classical","10000","5",0.326803312944081
"373","0.5","p","D","10000","5",0.301389649312889
"374","0.5","p","I50","10000","5",0.30313860345427
"375","0.5","p","I500","10000","5",0.303056752731702
"376","0.25","p","ca1","10000","0",0.0507143956533462
"377","0.25","p","classical","10000","0",0.0121250116651423
"378","0.25","p","D","10000","0",0.0512188629166287
"379","0.25","p","I50","10000","0",0.0125909468330589
"380","0.25","p","I500","10000","0",0.012617819566135
"381","0.25","p","ca1","10000","0.1",0.165647014313384
"382","0.25","p","classical","10000","0.1",0.13764490476317
"383","0.25","p","D","10000","0.1",0.160813065270983
"384","0.25","p","I50","10000","0.1",0.192763818629195
"385","0.25","p","I500","10000","0.1",0.163227063150614
"386","0.25","p","ca1","10000","0.25",0.365368218901114
"387","0.25","p","classical","10000","0.25",0.35501261880623
"388","0.25","p","D","10000","0.25",0.377110630124976
"389","0.25","p","I50","10000","0.25",0.367478099505721
"390","0.25","p","I500","10000","0.25",0.346070301324679
"391","0.25","p","ca1","10000","0.5",0.585131812205963
"392","0.25","p","classical","10000","0.5",0.598118194686245
"393","0.25","p","D","10000","0.5",0.593578367974575
"394","0.25","p","I50","10000","0.5",0.599594974855087
"395","0.25","p","I500","10000","0.5",0.61415936299294
"396","0.25","p","ca1","10000","0.75",0.743342897199367
"397","0.25","p","classical","10000","0.75",0.744081675213499
"398","0.25","p","D","10000","0.75",0.727905547749786
"399","0.25","p","I50","10000","0.75",0.745668523953298
"400","0.25","p","I500","10000","0.75",0.736243331260878
"401","0.25","p","ca1","10000","1",0.777485461287826
"402","0.25","p","classical","10000","1",0.78488130195004
"403","0.25","p","D","10000","1",0.776929861931232
"404","0.25","p","I50","10000","1",0.788871634705377
"405","0.25","p","I500","10000","1",0.77886732823161
"406","0.25","p","ca1","10000","1.5",0.73872639124579
"407","0.25","p","classical","10000","1.5",0.748498790020294
"408","0.25","p","D","10000","1.5",0.750623146249897
"409","0.25","p","I50","10000","1.5",0.750628974441171
"410","0.25","p","I500","10000","1.5",0.736592203567188
"411","0.25","p","ca1","10000","2",0.672377109036915
"412","0.25","p","classical","10000","2",0.684223863804633
"413","0.25","p","D","10000","2",0.681505552233589
"414","0.25","p","I50","10000","2",0.676617634750872
"415","0.25","p","I500","10000","2",0.679992173954422
"416","0.25","p","ca1","10000","3",0.551929814091638
"417","0.25","p","classical","10000","3",0.568369542477189
"418","0.25","p","D","10000","3",0.564181737171654
"419","0.25","p","I50","10000","3",0.557627061091868
"420","0.25","p","I500","10000","3",0.558011899516766
"421","0.25","p","ca1","10000","4",0.504296582227121
